NFR,Sector,Table,Type,Technology,Fuel,Abatement,Region,Pollutant,Value,Unit,CI_lower,CI_upper,Reference
1.A.1.a,Public electricity and heat production,Table_3-12,Tier 2 emission factor,Dry Bottom Boilers,Natural Gas,,NA,Zn,0.0015,mg/GJ,0.0005,0.0045,"Nielsen et al., 2012"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 2 emission factor,Dry Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,PCDD/F,10,ng I-TEQ/GJ,5,15,UNEP (2005); Coal fired power boilers
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 2 emission factor,Dry Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,PCB,3.3,ng WHO-TEG/GJ,1.1,9.9,"Grochowalski & Konieczyński, 2008"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 2 emission factor,Dry Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,Se,23,mg/GJ,16,37.3,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 2 emission factor,Dry Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,Benzo(b)fluoranthene,37,µg/GJ,3.7,370,"Wenborn et al., 1999"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 2 emission factor,Dry Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,As,7.1,mg/GJ,5.04,11.8,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 2 emission factor,Dry Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,PM2.5,3.4,g/GJ,0.9,90,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-9,Tier 2 emission factor,Dry Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,PM10,7.7,g/GJ,2,200,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-17,Tier 2 emission factor,Gas Turbines,Gaseous Fuels,,NA,Benzo(b)fluoranthene,1.58,µg/GJ,0.5,4.7,"API, 1998"
1.A.1.a,Public electricity and heat production,Table_3-10,Tier 2 emission factor,Wet and Dry Bottom Boilers,Brown Coal/Lignite,,NA,CO,8.7,g/GJ,6.72,60.5,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-16,Tier 2 emission factor,Fluid Bed Boilers,Brown Coal,,NA,As,14.3,mg/GJ,10.3,24.1,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-16,Tier 2 emission factor,Fluid Bed Boilers,Brown Coal,,NA,Cd,1.8,mg/GJ,1.29,3,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 emission factor,Fluid Bed Boilers,Hard Coal,,NA,BC,2.2,% of PM2.5,0.27,8.08,See note in Guidebook chapter
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 emission factor,Fluid Bed Boilers,Hard Coal,,NA,HCB,6.7,µg/GJ,2.2,20.1,"Grochowalski & Konieczyński, 2008"
1.A.1.a,Public electricity and heat production,Table_3-16,Tier 2 emission factor,Fluid Bed Boilers,Brown Coal,,NA,CO,13,g/GJ,0.1,26,European Commission (2006)
1.A.1.a,Public electricity and heat production,Table_3-17,Tier 2 emission factor,Gas Turbines,Gaseous Fuels,,NA,Cd,0.00025,mg/GJ,0.00008,0.00075,"Nielsen et al., 2012"
1.A.1.a,Public electricity and heat production,Table_3-17,Tier 2 emission factor,Gas Turbines,Gaseous Fuels,,NA,PM10,0.2,g/GJ,0.05,0.8,"BUWAL, 2001"
1.A.1.a,Public electricity and heat production,Table_3-17,Tier 2 emission factor,Gas Turbines,Gaseous Fuels,,NA,NMVOC,1.6,g/GJ,0.5,7.6,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-17,Tier 2 emission factor,Gas Turbines,Gaseous Fuels,,NA,NOx,153,g/GJ,92,245,"US EPA (2000), chapter 3.1"
1.A.1.a,Public electricity and heat production,Table_3-16,Tier 2 emission factor,Fluid Bed Boilers,Brown Coal,,NA,"Indeno(1,2,3-cd)pyrene",2.1,µg/GJ,0.4,10.5,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-13,Tier 2 emission factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,"Indeno(1,2,3-cd)pyrene",0.0374,mg/GJ,0.0187,0.0561,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-14,Tier 2 emission factor,Wet Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,As,7.1,mg/GJ,5.04,11.8,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-14,Tier 2 emission factor,Wet Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,PM10,6,g/GJ,6,24,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-13,Tier 2 emission factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,Benzo(a)pyrene,1.12,mg/GJ,0.671,1.57,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-13,Tier 2 emission factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,PCDD/F,50,ng I-TEQ/GJ,25,75,UNEP (2005) (for clean wood)
1.A.1.a,Public electricity and heat production,Table_3-13,Tier 2 emission factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,Se,1.2,mg/GJ,0.722,1.69,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-13,Tier 2 emission factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,Cu,21.1,mg/GJ,12.6,29.5,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-14,Tier 2 emission factor,Wet Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,CO,8.7,g/GJ,6.15,150,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 emission factor,Fluid Bed Boilers,Hard Coal,,NA,PM10,7.7,g/GJ,6,24,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 emission factor,Fluid Bed Boilers,Hard Coal,,NA,NMVOC,0.9,g/GJ,0.6,2.4,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-15,Tier 2 emission factor,Fluid Bed Boilers,Hard Coal,,NA,NOx,82.5,g/GJ,10,112,European Commission (2006)
1.A.1.a,Public electricity and heat production,Table_3-14,Tier 2 emission factor,Wet Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,Benzo(b)fluoranthene,29,µg/GJ,2.9,290,"Wenborn et al., 1999"
1.A.1.a,Public electricity and heat production,Table_3-14,Tier 2 emission factor,Wet Bottom Boilers,"Coking Coal, Steam Coal & Sub-Bituminous Coal",,NA,PCB,3.3,ng WHO-TEQ/GJ,1.1,9.9,"Grochowalski & Konieczyński, 2008"
1.A.1.b,Petroleum refining,Table_4-6,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Natural Gas,,NA,CO,39.3,g/GJ,23.6,55.1,"US EPA (1998), chapter 1.4"
1.A.1.b,Petroleum refining,Table_4-6,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Natural Gas,,NA,Pb,0.0015,mg/GJ,0.0005,0.0045,"Nielsen et al., 2012"
1.A.1.b,Petroleum refining,Table_4-6,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Natural Gas,,NA,PM2.5,0.89,g/GJ,0.297,2.67,"US EPA (1998), chapter 1.4"
1.A.1.b,Petroleum refining,Table_4-7,Tier 2 emission factor,4-stroke lean burn gas engines,Natural Gas,,NA,Ni,0.05,mg/GJ,0.017,0.15,"Nielsen et al., 2010"
1.A.1.b,Petroleum refining,Table_4-5,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Gas Oil,,NA,As,1.81,mg/GJ,0.905,3.62,"US EPA (1998), chapter 1.3"
1.A.1.b,Petroleum refining,Table_4-7,Tier 2 emission factor,4-stroke lean burn gas engines,Natural Gas,,NA,PM2.5,0.037,g/GJ,0.003,0.37,"US EPA (2000), chapter 3.2;"
1.A.1.b,Petroleum refining,Table_4-6,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Natural Gas,,NA,Benzo(b)fluoranthene,0.84,µg/GJ,0.28,0.84,"US EPA (1998), chapter 1.4 (""Less than"" value based on method detection limits)"
1.A.1.b,Petroleum refining,Table_4-6,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Natural Gas,,NA,"Indeno(1,2,3-cd)pyrene",0.84,µg/GJ,0.28,0.84,"US EPA (1998), chapter 1.4 (""Less than"" value based on method detection limits)"
1.A.1.b,Petroleum refining,Table_4-6,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Natural Gas,,NA,BC,8.6,% of PM2.5,4.3,17.2,"Wien et al., 2004"
1.A.1.b,Petroleum refining,Table_4-2,Tier 1 emission factor,NA,Refinery Gas,,NA,NMVOC,2.58,g/GJ,1.29,5.15,"US EPA (1998), chapter 1.4"
1.A.1.b,Petroleum refining,Table_4-8,Tier 2 emission factor,Reciprocating Engines (compression injection),Gas Oil,,NA,"Indeno(1,2,3-cd)pyrene",0.18,mg/GJ,0.06,0.54,"API, 1998"
1.A.1.b,Petroleum refining,Table_4-8,Tier 2 emission factor,Reciprocating Engines (compression injection),Gas Oil,,NA,Benzo(k)fluoranthene,0.096,mg/GJ,0.032,0.288,"API, 1998"
1.A.1.b,Petroleum refining,Table_4-8,Tier 2 emission factor,Reciprocating Engines (compression injection),Gas Oil,,NA,Benzo(b)fluoranthene,0.49,mg/GJ,0.16,1.47,"API, 1998"
1.A.1.b,Petroleum refining,Table_4-8,Tier 2 emission factor,Reciprocating Engines (compression injection),Gas Oil,,NA,Pb,4.07,mg/GJ,0.41,40.7,"US EPA (1998), chapter 1.3"
1.A.1.b,Petroleum refining,Table_4-8,Tier 2 emission factor,Reciprocating Engines (compression injection),Gas Oil,,NA,NOx,942,g/GJ,500,1380,"Nielsen et al., 2010"
1.A.1.b,Petroleum refining,Table_4-2,Tier 1 emission factor,NA,Refinery Gas,,NA,Ni,7.37,mg/GJ,1.6,13.1,CONCAWE Report 9/2016
1.A.1.b,Petroleum refining,Table_4-4,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Residual Oil (Refinery Fuel Oil),,NA,BC,5.6,% of PM2.5,0.22,8.69,See note in Guidebook chapter
1.A.1.b,Petroleum refining,Table_4-4,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Residual Oil (Refinery Fuel Oil),,NA,SOx,485,g/GJ,146,1700,See note in Guidebook chapter
1.A.1.b,Petroleum refining,Table_4-4,Tier 2 emission factor,"Process Furnaces, Heaters and Boilers",Residual Oil (Refinery Fuel Oil),,NA,Cr,14.8,mg/GJ,2.96,74,"API (1998, 2002)"
1.A.1.b,Petroleum refining,Table_4-2,Tier 1 emission factor,NA,Refinery Gas,,NA,Cu,3.29,mg/GJ,2.4,4.2,CONCAWE Report 9/2016
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-2,Tier 2 emission factor,Coke oven (byproduct recovery),Coal,,NA,Zn,7.6,mg/Mg Coal,3.8,15.2,"US EPA (2008), chapter 12.2"
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-2,Tier 2 emission factor,Coke oven (byproduct recovery),Coal,,NA,Benzo(b)fluoranthene,0.1,mg/Mg Coal,0.02,0.5,"US EPA (2008), chapter 12.2"
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-2,Tier 2 emission factor,Coke oven (byproduct recovery),Coal,,NA,Cu,1.7,mg/Mg Coal,0.85,3.4,"US EPA (2008), chapter 12.2"
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-3,Tier 2 emission factor,Coke oven (without byproduct recovery),Coal,,NA,Cu,1400,mg/Mg Coal,700,2800,"US EPA (2008), chapter 12.2"
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-2,Tier 2 emission factor,Coke oven (byproduct recovery),Coal,,NA,As,1.6,mg/Mg Coal,0.8,3.2,"US EPA (2008), chapter 12.2"
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-1,Tier 1 emission factor,NA,Coal,,NA,PM10,79,g/GJ,40,160,See note in Guidebook chapter
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-1,Tier 1 emission factor,NA,Coal,,NA,Hg,30,mg/GJ,6,150,See note in Guidebook chapter
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-2,Tier 2 emission factor,Coke oven (byproduct recovery),Coal,,NA,NMVOC,47,g/Mg Coal,24,94,"US EPA (2008), chapter 12.2"
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-1,Tier 1 emission factor,NA,Coal,,NA,Benzo(b)fluoranthene,0.003,mg/GJ,0.0006,0.015,See note in Guidebook chapter
1.A.1.c,Manufacture of solid fuels and other energy industries,Table_5-1,Tier 1 emission factor,NA,Coal,,NA,"Indeno(1,2,3-cd)pyrene",0.001,mg/GJ,0.0002,0.005,See note in Guidebook chapter
1.A.2.a,Iron and steel,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,As,0.03,mg/GJ,0.02,0.06,See note in Guidebook chapter
1.A.2.a,Iron and steel,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,Cr,0.2,mg/GJ,0.1,0.4,See note in Guidebook chapter
1.A.2.a,Iron and steel,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,TSP,20,g/GJ,12,28,See note in Guidebook chapter
1.A.2.a,Iron and steel,Table_3-3,Tier 1 emission factor,NA,Gaseous Fuels,,NA,BC,4,% of PM2.5,2.1,7,See note in Guidebook chapter
1.A.2.a,Iron and steel,Table_3-5,Tier 1 emission factor,NA,Biomass,,NA,Hg,0.56,mg/GJ,0.2,1,Struschka et al. (2008)
1.A.2.a,Iron and steel,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,Benzo(a)pyrene,1.9,mg/GJ,0.2,1.9,See note in Guidebook chapter
1.A.2.a,Iron and steel,Table_3-5,Tier 1 emission factor,NA,Biomass,,NA,NMVOC,300,g/GJ,5,500,"Naturvårdsverket, Sweden"
1.A.2.a,Iron and steel,Table_3-5,Tier 1 emission factor,NA,Biomass,,NA,CO,570,g/GJ,50,4000,"EN 303 class 5 boilers, 150-300 kW"
1.A.2.a,Iron and steel,Table_3-2,Tier 1 emission factor,NA,Solid Fuels,,NA,Hg,7.9,mg/GJ,5,10,Guidebook (2006) chapter B316
1.A.2.a,Iron and steel,Table_3-2,Tier 1 emission factor,NA,Solid Fuels,,NA,Se,1.8,mg/GJ,0.2,3,Guidebook (2006) chapter B316
1.A.2.a,Iron and steel,Table_3-10,Tier 2 emission factor,Reheating Furnace,Coke/Blast Furnace Gas/Coke Oven Gas/Nat Gas,,NA,CO,65,g/tonne,5,850,European Commission (2001)
1.A.2.a,Iron and steel,Table_3-10,Tier 2 emission factor,Reheating Furnace,Coke/Blast Furnace Gas/Coke Oven Gas/Nat Gas,,NA,NOx,170,g/tonne,80,360,European Commission (2001)
1.A.2.a,Iron and steel,Table_3-5,Tier 1 emission factor,NA,Biomass,,NA,Benzo(k)fluoranthene,5,mg/GJ,2,10,Boman et al. (2011); Johansson et al. (2004) 
1.A.2.a,Iron and steel,Table_3-3,Tier 1 emission factor,NA,Gaseous Fuels,,NA,Ni,0.013,mg/GJ,0.006,0.026,See note in Guidebook chapter
1.A.2.a,Iron and steel,Table_3-3,Tier 1 emission factor,NA,Gaseous Fuels,,NA,Cd,0.0009,mg/GJ,0.0003,0.0011,See note in Guidebook chapter
1.A.2.a,Iron and steel,Table_3-2,Tier 1 emission factor,NA,Solid Fuels,,NA,Benzo(k)fluoranthene,23.7,mg/GJ,8,100,Guidebook (2006) chapter B316
1.A.2.a,Iron and steel,Table_3-2,Tier 1 emission factor,NA,Solid Fuels,,NA,Benzo(b)fluoranthene,58.9,mg/GJ,10,180,Guidebook (2006) chapter B316
1.A.2.a,Iron and steel,Table_3-9,Tier 2 emission factor,Pellitising Plants,Blast Furnace Gas/Coke Oven Gas/Nat Gas,,NA,SOx,48,g/tonne pellet,11,213,European Commission (2008)
1.A.2.a,Iron and steel,Table_3-5,Tier 1 emission factor,NA,Biomass,,NA,HCB,5,µg/GJ,0.1,30,Syc et al. (2011)
1.A.2.a,Iron and steel,Table_3-7,Tier 2 emission factor,Blast Furnace,Coke/Blast Furnace Gas/Coke oven gas/NG/oil/BOF ga,,NA,CO,27,g/tonne pig iron,22,36,European Commission (2012a)
1.A.2.b,Non-ferrous metals,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,Cd,0.006,mg/GJ,0.003,0.011,See note in Guidebook chapter
1.A.2.b,Non-ferrous metals,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,Hg,0.12,mg/GJ,0.04,0.17,See note in Guidebook chapter
1.A.2.b,Non-ferrous metals,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,Zn,29,mg/GJ,15,58,See note in Guidebook chapter
1.A.2.b,Non-ferrous metals,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,PM2.5,20,g/GJ,12,28,See note in Guidebook chapter
1.A.2.b,Non-ferrous metals,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,Benzo(a)pyrene,1.9,mg/GJ,0.2,1.9,See note in Guidebook chapter
1.A.2.b,Non-ferrous metals,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,NMVOC,25,g/GJ,15,35,See note in Guidebook chapter
1.A.2.b,Non-ferrous metals,Table_3-4,Tier 1 emission factor,NA,'Other' Liquid Fuels,,NA,"Indeno(1,2,3-cd)pyrene",2.2,mg/GJ,1,3,Guidebook (2006) chapter B216
1.A.2.b,Non-ferrous metals,Table_3-3,Tier 1 emission factor,NA,Gaseous Fuels,,NA,Benzo(a)pyrene,0.72,µg/GJ,0.2,1.9,See note in Guidebook chapter
1.A.2.b,Non-ferrous metals,Table_3-3,Tier 1 emission factor,NA,Gaseous Fuels,,NA,"Indeno(1,2,3-cd)pyrene",1.08,µg/GJ,0.3,2.9,See note in Guidebook chapter
1.A.2.b,Non-ferrous metals,Table_3-5,Tier 1 emission factor,NA,Biomass,,NA,Cr,23,mg/GJ,1,100,"Hedberg et al. (2002) , Struschka et al. (2008)"
1.A.2.b,Non-ferrous metals,Table_3-5,Tier 1 emission factor,NA,Biomass,,NA,As,0.19,mg/GJ,0.05,12,Struschka et al. (2008)
